"bands","wave"
"b1",340
"b2",350
"b3",360
"b4",370
"b5",380
"b6",390
"b7",400
"b8",410
"b9",420
"b10",430
"b11",440
"b12",450
"b13",460
"b14",470
"b15",480
"b16",490
"b17",500
"b18",510
"b19",520
"b20",530
"b21",540
"b22",550
"b23",560
"b24",570
"b25",580
"b26",590
"b27",600
"b28",610
"b29",620
"b30",630
"b31",640
"b32",650
"b33",660
"b34",670
"b35",680
"b36",690
"b37",700
"b38",710
"b39",720
"b40",730
"b41",740
"b42",750
"b43",760
"b44",770
"b45",780
"b46",790
"b47",800
"b48",810
"b49",820
"b50",830
"b51",840
"b52",850
"b53",860
"b54",870
"b55",880
"b56",890
"b57",900
"b58",910
"b59",920
"b60",930
"b61",940
"b62",950
"b63",960
"b64",970
"b65",980
"b66",990
"b67",1000
"b68",1010
"b69",1020
"b70",1030
"b71",1040
"b72",1050
"b73",1060
"b74",1070
"b75",1080
"b76",1090
"b77",1100
"b78",1110
"b79",1120
"b80",1130
"b81",1140
"b82",1150
"b83",1160
"b84",1170
"b85",1180
"b86",1190
"b87",1200
"b88",1210
"b89",1220
"b90",1230
"b91",1240
"b92",1250
"b93",1260
"b94",1270
"b95",1280
"b96",1290
"b97",1300
"b98",1310
"b99",1320
"b100",1330
"b101",1340
"b102",1350
"b103",1360
"b104",1370
"b105",1380
"b106",1390
"b107",1400
"b108",1410
"b109",1420
"b110",1430
"b111",1440
"b112",1450
"b113",1460
"b114",1470
"b115",1480
"b116",1490
"b117",1500
"b118",1510
"b119",1520
"b120",1530
"b121",1540
"b122",1550
"b123",1560
"b124",1570
"b125",1580
"b126",1590
"b127",1600
"b128",1610
"b129",1620
"b130",1630
"b131",1640
"b132",1650
"b133",1660
"b134",1670
"b135",1680
"b136",1690
"b137",1700
"b138",1710
"b139",1720
"b140",1730
"b141",1740
"b142",1750
"b143",1760
"b144",1770
"b145",1780
"b146",1790
"b147",1800
"b148",1810
"b149",1820
"b150",1830
"b151",1840
"b152",1850
"b153",1860
"b154",1870
"b155",1880
"b156",1890
"b157",1900
"b158",1910
"b159",1920
"b160",1930
"b161",1940
"b162",1950
"b163",1960
"b164",1970
"b165",1980
"b166",1990
"b167",2000
"b168",2010
"b169",2020
"b170",2030
"b171",2040
"b172",2050
"b173",2060
"b174",2070
"b175",2080
"b176",2090
"b177",2100
"b178",2110
"b179",2120
"b180",2130
"b181",2140
"b182",2150
"b183",2160
"b184",2170
"b185",2180
"b186",2190
"b187",2200
"b188",2210
"b189",2220
"b190",2230
"b191",2240
"b192",2250
"b193",2260
"b194",2270
"b195",2280
"b196",2290
"b197",2300
"b198",2310
"b199",2320
"b200",2330
"b201",2340
"b202",2350
"b203",2360
"b204",2370
"b205",2380
"b206",2390
"b207",2400
"b208",2410
"b209",2420
"b210",2430
"b211",2440
"b212",2450
"b213",2460
"b214",2470
"b215",2480
"b216",2490
"b217",2500
"b218",2510
"b219",2520
